Week,abdominal pain: (Singapore),aedes: (Singapore),Aedes aegypti: (Singapore),Aedes mosquito: (Singapore),bleeding: (Singapore),blood transfusion: (Singapore),citronella: (Singapore),DEET: (Singapore),dengue: (Singapore),Dengue cluster: (Singapore),dengue fever: (Singapore),dengue hotspots: (Singapore),dengue vaccine: (Singapore),Dengvaxia: (Singapore),dhf: (Singapore),essential oils: (Singapore),eucalyptus: (Singapore),Fever: (Singapore),fogging: (Singapore),haemorrhagic: (Singapore),headache: (Singapore),insecticide: (Singapore),IR3535: (Singapore),joint pain: (Singapore),mopiko: (Singapore),mosquito: (Singapore),mosquito bite: (Singapore),mosquito net: (Singapore),mosquito repellent: (Singapore),nausea: (Singapore),picaridin: (Singapore),Rashes: (Singapore),repellent: (Singapore),stagnant water: (Singapore),vomit: (Singapore),wolbachia: (Singapore)
2019-09-22,39,38,50,37,59,0,44,85,26,31,36,0,0,0,0,82,8,35,27,0,74,34,0,68,78,45,63,21,21,40,36,74,48,20,65,21
2019-09-29,28,15,0,0,73,26,0,88,21,12,43,0,0,30,17,52,32,38,23,0,62,44,0,33,0,37,38,20,27,40,0,53,32,0,44,10
2019-10-06,52,29,0,24,65,39,0,0,20,34,32,0,0,77,0,70,26,38,20,0,75,0,0,19,34,35,18,0,52,42,0,54,37,0,46,0
2019-10-13,46,0,0,17,63,22,0,0,25,32,44,27,31,0,0,31,35,39,0,0,72,0,0,41,51,46,57,28,12,39,0,52,30,0,65,0
2019-10-20,0,0,75,0,57,0,0,0,22,13,34,0,0,0,0,61,34,37,0,21,66,15,0,0,25,39,51,91,16,39,0,59,37,0,73,0
2019-10-27,54,0,0,24,59,41,0,0,20,13,25,0,0,0,26,26,46,38,0,25,87,0,0,27,0,42,54,0,45,39,0,44,51,19,62,0
2019-11-03,50,11,0,34,55,24,33,45,27,24,39,51,20,0,0,73,32,45,0,0,67,24,0,55,0,47,29,30,12,50,0,71,24,0,73,0
2019-11-10,33,0,25,0,53,26,51,27,32,15,39,0,0,0,68,55,18,45,18,67,68,58,16,65,0,37,42,19,43,52,0,53,39,36,55,25
2019-11-17,12,0,0,63,57,18,0,43,33,32,49,0,0,0,0,52,20,41,0,0,81,23,68,37,0,31,0,0,20,37,47,50,22,0,40,17
2019-11-24,41,12,0,0,62,0,39,0,26,32,47,0,0,0,0,30,50,37,0,28,91,36,0,67,0,38,0,23,18,44,0,57,30,0,64,19
2019-12-01,50,0,0,0,62,21,0,0,20,18,43,0,0,0,21,49,7,39,0,0,60,32,17,62,0,38,21,16,15,52,0,45,44,22,69,47
2019-12-08,75,0,0,0,59,53,0,0,21,27,32,0,0,0,0,39,21,48,22,0,50,0,0,50,0,34,0,35,0,44,0,59,27,50,73,22
2019-12-15,47,0,0,62,45,56,45,0,21,22,47,0,64,0,0,46,21,50,27,0,68,0,0,25,31,40,75,0,32,46,0,58,52,39,54,0
2019-12-22,48,16,0,0,61,0,0,27,24,17,52,0,25,0,0,24,35,53,0,0,59,0,34,74,0,34,19,0,10,56,78,75,31,0,84,0
2019-12-29,37,19,0,82,56,0,16,0,22,20,56,0,0,0,0,34,29,53,0,0,58,38,55,65,35,34,61,17,19,41,0,56,19,0,58,0
2020-01-05,43,17,0,42,56,33,16,0,27,46,37,0,19,0,0,51,38,50,0,0,65,16,0,52,0,38,28,0,30,51,20,31,46,0,66,27
2020-01-12,58,18,0,16,49,16,0,0,37,69,59,0,0,0,0,31,43,50,18,31,61,22,0,58,0,40,41,0,23,54,0,63,34,0,51,0
2020-01-19,58,46,0,23,88,54,46,37,25,30,48,0,57,0,22,59,44,58,0,0,79,51,0,51,0,30,0,0,15,35,67,64,14,0,59,29
2020-01-26,54,27,62,0,71,0,0,32,23,23,28,0,0,0,0,82,41,80,51,50,74,0,47,87,0,35,21,29,19,49,0,63,34,0,92,0
2020-02-02,58,15,50,0,66,0,0,0,21,14,29,0,0,19,0,100,60,76,18,0,72,18,0,46,22,34,28,0,12,34,0,56,20,0,72,43
2020-02-09,55,42,31,27,46,28,21,0,47,45,62,0,18,0,0,41,100,100,37,0,77,0,0,22,0,44,33,0,54,48,0,65,46,0,92,0
2020-02-16,50,27,0,48,54,19,31,53,46,52,56,43,41,0,0,96,46,65,30,32,72,77,0,57,0,46,32,17,46,48,0,68,58,0,65,11
2020-02-23,48,18,29,60,61,11,30,0,31,36,41,0,0,0,0,71,53,54,19,0,71,31,29,54,0,37,19,0,0,41,0,57,29,16,43,0
2020-03-01,35,24,0,26,66,23,35,38,33,42,43,0,0,74,0,21,41,52,24,0,66,25,0,75,46,34,0,53,19,43,0,67,31,17,57,14
2020-03-08,47,15,0,0,54,24,62,0,30,61,28,0,21,0,0,42,52,54,56,0,74,0,0,68,49,37,14,0,18,30,0,68,34,0,70,0
2020-03-15,79,12,0,17,61,15,41,0,27,32,33,0,0,0,0,43,32,65,20,27,73,0,26,38,0,38,27,0,30,40,0,57,39,0,43,0
2020-03-22,47,57,0,35,57,18,82,0,34,45,52,16,23,0,0,81,38,67,24,0,93,21,27,67,0,46,49,18,28,52,0,53,34,0,50,0
2020-03-29,53,22,0,24,60,25,24,0,22,35,28,0,28,0,0,53,25,59,16,19,91,0,0,26,0,41,39,16,34,34,0,30,35,0,47,8
2020-04-05,28,14,0,0,55,0,23,27,19,28,13,0,0,28,0,44,31,50,40,0,67,21,0,48,25,42,27,13,26,46,0,64,36,0,31,9
2020-04-12,39,24,0,55,57,35,20,0,18,26,31,0,0,0,34,33,32,46,60,0,69,29,0,33,0,40,31,36,24,33,18,54,36,0,36,0
2020-04-19,53,9,0,86,45,28,10,0,28,31,29,0,0,0,0,19,33,44,34,0,76,32,0,36,0,56,43,0,39,37,14,57,48,0,52,0
2020-04-26,71,14,0,29,52,46,28,25,22,17,35,0,30,0,0,76,35,34,49,0,69,0,0,67,56,49,22,40,35,59,23,73,36,0,60,0
2020-05-03,43,33,0,0,55,0,39,57,23,22,25,0,26,0,15,36,24,34,40,0,74,39,0,44,0,59,36,27,35,50,0,61,42,0,55,37
2020-05-10,58,35,17,37,72,28,34,36,32,52,37,14,28,0,0,69,59,30,43,18,78,14,0,56,21,67,46,16,50,48,0,69,61,0,48,0
2020-05-17,63,19,0,24,58,17,19,0,31,52,35,0,0,0,0,49,41,33,52,38,78,31,18,63,19,60,42,0,30,52,14,59,44,16,51,0
2020-05-24,49,0,0,34,50,0,32,36,34,34,45,0,0,0,0,64,44,36,24,0,83,39,0,53,22,58,36,41,23,39,0,54,47,0,51,13
2020-05-31,50,56,0,40,51,11,61,0,50,68,53,0,55,0,0,61,42,34,85,37,66,27,0,79,0,70,12,0,66,28,0,78,85,14,60,14
2020-06-07,48,60,0,0,60,25,61,21,62,63,68,0,0,0,0,39,35,35,53,0,73,25,0,38,0,83,50,35,48,35,28,45,57,46,46,22
2020-06-14,31,72,17,55,60,31,74,0,76,83,69,0,0,0,17,40,6,40,88,58,79,29,0,58,0,87,68,28,58,39,0,60,72,0,41,15
2020-06-21,54,69,0,62,60,0,54,55,82,98,83,0,0,0,18,70,32,38,76,0,80,32,0,56,0,100,77,59,91,35,0,75,80,16,48,0
2020-06-28,47,67,0,95,65,0,50,18,72,57,64,0,0,0,0,64,34,37,0,62,63,19,13,28,0,95,35,50,55,44,0,63,75,15,33,19
2020-07-05,46,45,74,55,66,11,51,27,66,58,76,0,0,0,0,51,43,36,28,0,64,41,0,31,0,75,29,20,55,41,0,63,70,0,46,0
2020-07-12,59,82,0,89,61,36,34,33,81,75,81,0,0,0,0,41,60,40,37,21,60,80,0,41,0,82,83,0,35,36,0,83,68,0,47,44
2020-07-19,69,61,0,45,61,0,59,0,100,93,94,13,51,18,0,92,34,37,92,0,70,23,0,19,0,92,72,33,68,42,20,45,71,0,73,25
2020-07-26,72,100,0,64,67,15,71,0,77,50,90,0,0,0,0,75,43,38,28,43,77,76,0,41,0,89,62,35,100,50,0,57,100,42,42,15
2020-08-02,31,70,25,69,55,34,77,58,79,100,92,0,23,0,0,64,44,42,11,0,79,15,0,54,45,75,0,0,52,47,15,62,63,0,54,16
2020-08-09,39,55,0,66,69,0,44,25,67,58,82,0,57,23,24,65,40,33,32,0,69,59,0,70,0,75,81,56,72,45,0,63,64,0,55,0
2020-08-16,40,54,0,56,64,0,0,21,58,50,45,0,25,0,0,68,34,33,45,0,69,0,18,49,0,72,49,0,51,46,0,64,49,0,54,24
2020-08-23,37,35,0,0,62,33,45,24,56,36,59,0,0,31,0,68,35,32,18,0,73,47,0,68,59,58,29,16,41,53,0,71,54,27,48,9
2020-08-30,56,71,0,57,61,0,54,41,48,31,33,0,38,31,0,68,37,27,18,0,62,0,34,62,22,59,0,30,47,50,0,78,55,0,52,0
2020-09-06,69,55,0,38,53,30,42,35,38,33,39,0,0,27,18,51,46,28,0,27,77,58,0,61,48,43,38,17,19,48,0,60,35,21,56,11
2020-09-13,70,50,0,0,62,47,46,32,35,48,31,0,0,0,0,50,32,28,53,0,76,46,0,34,19,54,22,38,45,39,68,65,43,0,64,19
2020-09-20,45,57,59,0,62,41,45,0,34,30,42,21,0,0,0,25,26,33,15,63,81,46,18,73,21,37,22,0,18,44,0,53,32,0,60,0
2020-09-27,77,42,0,0,63,0,38,74,30,27,28,66,0,0,15,47,34,30,37,0,60,52,0,53,41,54,19,20,46,50,16,56,56,0,48,0
2020-10-04,87,25,0,64,60,0,18,0,23,11,18,0,0,0,0,66,30,30,42,0,73,68,0,37,68,44,28,33,20,44,0,65,66,0,45,0
2020-10-11,60,12,0,0,64,0,53,0,29,32,26,44,0,0,0,65,36,26,44,26,78,0,40,53,46,45,34,0,0,46,0,76,35,0,67,0
2020-10-18,50,22,0,49,68,30,0,54,25,19,25,0,39,0,0,75,16,28,0,0,66,32,0,68,45,47,37,27,25,40,0,64,35,0,30,0
2020-10-25,16,16,0,0,52,18,34,46,19,20,22,0,70,0,0,28,40,25,33,0,69,22,0,33,80,44,29,58,34,65,0,57,31,0,43,0
2020-11-01,46,0,0,66,55,46,0,23,18,0,8,0,0,0,0,29,31,22,23,0,68,26,0,42,0,25,26,18,0,45,0,33,8,26,37,12
2020-11-08,50,14,46,35,63,39,0,0,18,16,13,0,0,0,0,58,41,23,0,29,72,18,0,28,21,39,29,0,21,38,0,48,45,38,60,0
2020-11-15,34,24,0,35,54,0,29,0,22,38,19,49,0,0,24,43,38,26,48,0,84,40,0,68,43,35,19,0,0,42,0,49,26,0,32,0
2020-11-22,55,29,0,0,57,36,41,0,16,33,20,20,0,21,0,70,21,27,19,0,68,21,0,51,0,38,25,0,35,44,24,41,49,18,73,0
2020-11-29,50,26,0,0,62,13,27,78,14,15,13,0,0,0,23,50,30,27,56,0,71,0,0,100,0,39,12,0,23,38,0,54,39,17,64,0
2020-12-06,67,24,36,25,60,33,0,0,12,19,11,31,36,0,0,47,36,23,42,90,73,38,80,66,0,43,36,20,24,42,0,55,43,22,88,0
2020-12-13,54,29,0,23,59,32,21,28,11,14,0,0,0,0,0,60,38,23,32,0,69,43,0,54,0,33,0,0,15,46,0,47,35,19,56,0
2020-12-20,73,0,0,44,60,44,30,33,10,11,16,0,0,0,0,49,66,22,24,0,62,48,0,55,0,32,49,0,0,50,0,68,34,0,74,14
2020-12-27,0,18,0,0,64,45,14,0,6,6,0,0,0,62,0,27,43,24,64,22,58,23,0,62,0,35,0,0,10,51,0,59,37,17,75,0
2021-01-03,50,18,40,0,55,0,15,20,10,5,18,0,0,0,0,57,46,29,15,0,70,25,0,22,80,30,27,0,30,47,41,45,29,0,61,0
2021-01-10,54,0,0,29,64,0,0,0,9,12,0,35,0,0,0,42,31,24,72,0,48,48,100,38,0,29,0,47,18,33,0,52,36,20,32,27
2021-01-17,38,20,0,0,55,44,0,0,9,0,8,0,39,0,0,63,34,23,35,0,64,40,0,30,0,26,39,0,18,39,0,75,36,0,64,0
2021-01-24,44,0,45,36,66,29,48,0,11,23,11,0,0,0,23,46,24,26,20,0,65,21,0,65,0,30,0,17,0,58,56,59,20,0,45,18
2021-01-31,41,18,0,0,72,36,42,0,9,7,12,0,0,0,0,54,31,22,14,0,90,19,0,55,0,25,0,34,0,34,0,58,29,35,91,0
2021-02-07,50,24,27,25,69,0,0,0,11,15,0,0,0,44,0,38,22,29,0,0,71,0,0,51,26,35,28,0,35,44,0,64,27,0,49,12
2021-02-14,36,0,0,27,70,41,16,0,12,33,6,0,0,0,0,25,25,31,26,0,78,48,0,31,0,29,21,0,35,58,0,68,33,20,72,0
