Week,abdominal pain: (Singapore),aedes: (Singapore),Aedes aegypti: (Singapore),Aedes mosquito: (Singapore),bleeding: (Singapore),blood transfusion: (Singapore),citronella: (Singapore),DEET: (Singapore),dengue: (Singapore),Dengue cluster: (Singapore),dengue fever: (Singapore),dengue hotspots: (Singapore),dengue vaccine: (Singapore),Dengvaxia: (Singapore),dhf: (Singapore),essential oils: (Singapore),eucalyptus: (Singapore),Fever: (Singapore),fogging: (Singapore),haemorrhagic: (Singapore),headache: (Singapore),insecticide: (Singapore),IR3535: (Singapore),joint pain: (Singapore),mopiko: (Singapore),mosquito: (Singapore),mosquito bite: (Singapore),mosquito net: (Singapore),mosquito repellent: (Singapore),nausea: (Singapore),picaridin: (Singapore),Rashes: (Singapore),repellent: (Singapore),stagnant water: (Singapore),vomit: (Singapore),wolbachia: (Singapore)
2019-06-23,42,36,40,0,70,0,0,42,44,67,84,0,0,0,0,30,27,52,0,0,70,0,44,70,0,49,40,72,35,61,23,79,48,0,58,0
2019-06-30,74,13,0,38,68,0,54,0,38,59,71,0,0,0,27,49,17,56,32,0,67,0,35,74,51,38,28,0,32,47,0,72,52,44,70,0
2019-07-07,94,47,0,61,59,27,0,29,41,45,80,0,0,0,0,62,65,51,0,29,62,25,0,76,0,34,33,0,17,33,0,75,23,24,59,0
2019-07-14,64,35,0,71,57,16,41,45,48,74,75,0,0,0,0,64,18,52,0,0,62,39,0,60,35,48,58,0,40,47,0,65,42,0,34,0
2019-07-21,65,59,0,99,54,30,30,0,42,57,85,0,0,0,0,55,0,50,44,65,80,53,0,31,72,51,51,43,29,61,0,38,49,0,48,14
2019-07-28,54,0,0,34,55,15,67,20,55,65,78,0,19,0,0,50,28,49,0,0,66,0,0,28,0,50,54,41,34,49,0,62,53,23,59,0
2019-08-04,47,65,0,64,73,13,39,0,51,54,75,0,25,53,24,36,28,44,28,0,56,35,0,88,39,56,41,100,48,61,0,68,40,0,36,11
2019-08-11,49,37,0,0,66,37,0,29,47,49,100,45,0,0,0,67,23,47,15,0,72,0,0,30,60,38,61,0,19,48,0,56,19,0,56,0
2019-08-18,23,0,0,56,51,0,47,91,41,49,71,15,0,0,0,69,44,51,0,24,81,31,42,48,38,45,15,0,29,57,0,69,33,0,60,17
2019-08-25,53,0,45,0,53,18,52,21,31,58,58,22,0,0,0,70,15,39,0,0,57,0,0,48,36,50,20,22,36,63,25,77,38,0,80,0
2019-09-01,76,17,0,22,78,36,44,30,32,33,38,0,22,0,0,55,9,37,20,0,69,52,0,25,0,34,33,0,22,35,0,66,25,0,64,0
2019-09-08,32,14,0,0,60,23,58,25,32,33,41,0,0,0,0,39,15,37,45,0,75,75,0,21,0,52,28,31,16,41,0,57,34,19,90,0
2019-09-15,37,20,0,18,52,0,35,48,34,46,52,0,23,0,0,60,28,38,18,21,75,18,0,71,0,43,60,48,35,44,0,62,41,0,55,0
