time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),google_trends,Mean Temperature (°C)_lag28,Mean Temperature (°C)_lag51,Mean Wind Speed (km/h)_lag6,Mean Wind Speed (km/h)_lag22,Mean Wind Speed (km/h)_lag47,Maximum Temperature (°C)_lag10,Max Wind Speed (km/h)_lag14,Max Wind Speed (km/h)_lag41,Minimum Temperature (°C)_lag49,dengue_cases_lag_1,dengue_cases_lag_2,dengue_cases_lag_3,s_ratio,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2021-06-27,112,0.0,0.264,0.611,0.125,28.12857142857143,5.714285714285714,3.6,33.6,33.3,24.0,24,27.185714285714287,28.842857142857145,6.971428571428571,11.157142857142857,8.9,32.7,35.2,57.4,24.9,126.0,135.0,137.0,0.719913592665888,0,0,0,0,1,0,0,0,0,0,0
2021-07-04,104,0.012,0.193,0.723,0.072,28.12857142857143,6.828571428571428,6.6000000000000005,33.0,51.9,23.5,21,26.457142857142856,27.65714285714285,6.085714285714286,11.357142857142858,10.314285714285717,33.1,48.2,46.3,23.7,112.0,126.0,135.0,0.7268231501613274,0,0,0,0,0,1,0,0,0,0,0
2021-07-11,75,0.012,0.193,0.723,0.072,28.057142857142857,7.128571428571428,4.942857142857143,32.5,51.9,23.4,25,27.485714285714288,27.74285714285714,8.77142857142857,12.94285714285714,8.371428571428572,33.4,37.0,55.6,23.9,104.0,112.0,126.0,0.7265182214375028,0,0,0,0,0,1,0,0,0,0,0
2021-07-18,80,0.012,0.193,0.723,0.072,27.928571428571427,9.271428571428572,16.942857142857143,32.8,37.0,23.2,25,25.97142857142857,28.071428571428573,8.528571428571428,13.44285714285714,8.357142857142858,33.5,42.6,44.4,24.1,75.0,104.0,112.0,0.7263564110950919,0,0,0,0,0,1,0,0,0,0,0
2021-07-25,82,0.012,0.193,0.723,0.072,29.385714285714283,9.714285714285714,0.3428571428571429,33.2,46.3,25.9,17,25.31428571428572,27.942857142857143,7.871428571428572,15.685714285714283,9.2,33.6,31.5,42.6,22.5,80.0,75.0,104.0,0.726173957693123,0,0,0,0,0,1,0,0,0,0,0
2021-08-01,70,0.0,0.294,0.676,0.029,29.27142857142857,9.957142857142856,4.285714285714286,33.4,44.4,23.1,19,26.214285714285715,29.11428571428572,6.042857142857143,10.857142857142858,8.014285714285714,32.6,35.2,42.6,23.0,82.0,80.0,75.0,0.6998057060967164,0,0,0,0,0,0,1,0,0,0,0
2021-08-08,79,0.0,0.294,0.676,0.029,28.27142857142857,8.528571428571428,1.5714285714285714,32.9,50.0,23.2,20,26.414285714285715,28.185714285714287,5.714285714285714,12.457142857142856,7.985714285714286,33.5,38.9,44.4,24.0,70.0,82.0,80.0,0.699691040088882,0,0,0,0,0,0,1,0,0,0,0
2021-08-15,56,0.0,0.294,0.676,0.029,28.37142857142857,8.085714285714285,4.057142857142857,32.6,57.4,23.6,19,26.885714285714283,27.67142857142857,6.828571428571428,10.885714285714286,8.942857142857143,33.7,35.2,35.2,22.8,79.0,70.0,82.0,0.6994845346304677,0,0,0,0,0,0,1,0,0,0,0
2021-08-22,53,0.0,0.294,0.676,0.029,26.857142857142858,6.700000000000001,17.885714285714286,32.3,55.6,21.9,19,27.071428571428573,27.928571428571427,7.128571428571428,9.4,7.185714285714285,32.9,38.9,40.7,22.7,56.0,79.0,70.0,0.6993683094764883,0,0,0,0,0,0,1,0,0,0,0
2021-08-29,46,0.0,0.294,0.676,0.029,27.142857142857142,8.671428571428573,7.142857142857143,31.8,51.9,23.7,23,27.514285714285712,27.585714285714285,9.271428571428572,8.3,7.571428571428571,33.0,35.2,38.9,21.9,53.0,56.0,79.0,0.6992462342922714,0,0,0,0,0,0,1,0,0,0,0
2021-09-05,60,0.0,0.056,0.921,0.024,27.442857142857143,8.428571428571429,18.228571428571428,32.3,42.6,22.9,20,27.0,27.4,9.714285714285714,6.328571428571428,7.214285714285714,33.6,40.7,38.9,23.6,46.0,53.0,56.0,0.7445251905068909,0,0,0,0,0,0,0,1,0,0,0
2021-09-12,74,0.0,0.056,0.921,0.024,28.357142857142858,7.771428571428571,6.628571428571428,32.9,50.0,22.5,21,27.5,27.75714285714286,9.957142857142856,8.171428571428573,8.914285714285715,33.0,46.3,29.6,24.4,60.0,46.0,53.0,0.7442714432511798,0,0,0,0,0,0,0,1,0,0,0
2021-09-19,109,0.0,0.056,0.921,0.024,28.47142857142857,9.814285714285717,0.5428571428571428,32.8,44.4,25.4,17,28.24285714285714,27.457142857142856,8.528571428571428,6.185714285714285,6.7,32.5,46.3,37.0,23.2,74.0,60.0,46.0,0.7439936616849306,0,0,0,0,0,0,0,1,0,0,0
2021-09-26,105,0.0,0.056,0.921,0.024,28.957142857142856,8.328571428571427,4.628571428571428,33.3,44.4,23.5,21,27.857142857142858,27.842857142857145,8.085714285714285,6.185714285714285,6.514285714285714,32.8,42.6,42.6,24.6,109.0,74.0,60.0,0.7434728288393154,0,0,0,0,0,0,0,1,0,0,0
2021-10-03,104,0.008,0.053,0.939,0.0,27.31428571428572,6.042857142857143,16.257142857142856,33.0,44.4,23.4,22,28.12857142857143,28.2,6.700000000000001,7.742857142857143,6.042857142857143,33.2,33.3,31.5,22.2,105.0,109.0,74.0,0.7399215011751308,0,0,0,0,0,0,0,0,1,0,0
2021-10-10,85,0.008,0.053,0.939,0.0,29.2,8.571428571428571,5.057142857142857,33.8,40.7,23.2,21,27.47142857142857,28.81428571428572,8.671428571428573,6.028571428571429,8.385714285714286,33.4,51.9,31.5,24.5,104.0,105.0,109.0,0.7393639949239411,0,0,0,0,0,0,0,0,1,0,0
2021-10-17,76,0.008,0.053,0.939,0.0,29.428571428571427,8.142857142857142,1.0285714285714287,33.2,38.9,25.6,22,28.214285714285715,28.25714285714286,8.428571428571429,6.971428571428571,6.614285714285714,32.9,51.9,44.4,23.3,85.0,104.0,105.0,0.7389230847515404,0,0,0,0,0,0,0,0,1,0,0
2021-10-24,75,0.008,0.053,0.939,0.0,27.52857142857143,6.242857142857143,6.628571428571428,33.3,40.7,23.5,16,28.47142857142857,28.11428571428572,7.771428571428571,6.085714285714286,6.1000000000000005,32.6,37.0,37.0,24.4,76.0,85.0,104.0,0.7385480482346003,0,0,0,0,0,0,0,0,1,0,0
2021-10-31,59,0.008,0.053,0.939,0.0,28.25714285714286,6.814285714285714,4.0,33.1,38.9,24.7,18,27.728571428571428,27.014285714285712,9.814285714285717,8.77142857142857,11.771428571428572,32.3,46.3,42.6,23.8,75.0,76.0,85.0,0.7381477032729844,0,0,0,0,0,0,0,0,1,0,0
2021-11-07,42,0.0,0.102,0.898,0.0,26.985714285714288,5.114285714285715,15.485714285714286,32.7,35.2,24.1,17,28.285714285714285,27.914285714285715,8.328571428571427,8.528571428571428,11.1,31.8,44.4,48.2,23.7,59.0,75.0,76.0,0.7285066036680589,0,0,0,0,0,0,0,0,0,1,0
2021-11-14,56,0.0,0.102,0.898,0.0,27.4,6.057142857142857,6.485714285714286,33.4,38.9,23.6,17,28.557142857142857,27.357142857142858,6.042857142857143,7.871428571428572,6.328571428571428,32.3,50.0,40.7,24.3,42.0,59.0,75.0,0.7283535682776756,0,0,0,0,0,0,0,0,0,1,0
2021-11-21,63,0.0,0.102,0.898,0.0,27.74285714285714,5.757142857142857,9.771428571428572,33.2,44.4,23.4,22,28.428571428571427,26.61428571428572,8.571428571428571,6.042857142857143,7.8,32.9,57.4,40.7,23.0,56.0,42.0,59.0,0.7281288325971244,0,0,0,0,0,0,0,0,0,1,0
2021-11-28,48,0.0,0.102,0.898,0.0,27.585714285714285,5.457142857142857,12.885714285714286,33.0,44.4,22.8,14,28.81428571428572,27.357142857142858,8.142857142857142,5.714285714285714,8.6,32.8,55.6,37.0,23.0,63.0,56.0,42.0,0.7278223071842673,0,0,0,0,0,0,0,0,0,1,0
