time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),recent_cases_in_cluster_central,recent_cases_in_cluster_east,recent_cases_in_cluster_north,recent_cases_in_cluster_north-east,recent_cases_in_cluster_west,google_trends
2019-04-28,192,0.077,0.568,0.297,0.058,28.428571428571427,5.871428571428572,8.457142857142857,34.5,40.3,24.0,13.0,9.0,47.0,14.0,2.0,28
2019-05-05,287,0.033,0.569,0.275,0.123,29.085714285714285,6.771428571428571,1.0285714285714287,34.3,34.9,25.6,14.0,34.0,46.0,11.0,3.0,33
2019-05-12,307,0.033,0.569,0.275,0.123,29.457142857142856,6.228571428571429,4.571428571428571,34.7,52.6,22.9,46.0,70.0,99.0,29.0,5.0,30
2019-05-19,376,0.033,0.569,0.275,0.123,29.02857142857143,7.085714285714286,2.628571428571429,33.1,41.0,22.8,54.0,82.0,108.0,33.0,20.0,28
2019-05-26,400,0.033,0.569,0.275,0.123,29.27142857142857,8.4,0.8571428571428571,33.5,35.6,26.1,69.0,86.0,87.0,44.0,37.0,40
2019-06-02,396,0.045,0.641,0.239,0.075,29.11428571428572,9.457142857142856,2.7142857142857144,33.0,43.9,25.2,114.0,119.0,111.0,67.0,32.0,35
2019-06-09,464,0.045,0.641,0.239,0.075,27.728571428571428,7.485714285714286,7.571428571428571,32.6,37.8,24.2,137.0,139.0,111.0,77.0,42.0,37
2019-06-16,430,0.045,0.641,0.239,0.075,28.957142857142856,9.44285714285714,3.7142857142857135,33.0,36.7,23.6,143.0,140.0,89.0,83.0,57.0,52
2019-06-23,492,0.045,0.641,0.239,0.075,28.0,7.614285714285714,8.885714285714286,32.4,57.6,23.3,155.0,171.0,70.0,82.0,62.0,50
2019-06-30,591,0.045,0.641,0.239,0.075,28.985714285714288,11.828571428571427,2.7142857142857144,32.5,43.2,23.9,147.0,205.0,49.0,72.0,48.0,42
2019-07-07,661,0.024,0.697,0.207,0.072,29.25714285714286,12.0,0.0571428571428571,33.2,42.5,26.8,201.0,268.0,35.0,91.0,62.0,45
2019-07-14,644,0.024,0.697,0.207,0.072,29.057142857142857,13.185714285714283,0.2571428571428571,32.9,42.1,24.8,344.0,296.0,26.0,116.0,92.0,51
2019-07-21,601,0.024,0.697,0.207,0.072,28.814285714285717,13.214285714285714,0.3714285714285714,32.7,44.6,23.9,319.0,261.0,24.0,131.0,114.0,50
2019-07-28,597,0.024,0.697,0.207,0.072,28.77142857142857,11.2,1.0571428571428572,33.0,39.2,24.2,253.0,211.0,25.0,137.0,123.0,57
2019-08-04,521,0.014,0.722,0.175,0.089,29.442857142857143,14.614285714285714,0.0,33.4,47.2,26.7,258.0,177.0,26.0,129.0,108.0,60
2019-08-11,522,0.014,0.722,0.175,0.089,29.185714285714287,16.04285714285714,0.5714285714285714,32.9,40.7,27.2,255.0,154.0,24.0,118.0,112.0,47
2019-08-18,474,0.014,0.722,0.175,0.089,29.585714285714285,16.257142857142856,0.0,33.3,42.5,27.2,230.0,142.0,21.0,104.0,130.0,48
2019-08-25,412,0.014,0.722,0.175,0.089,29.32857142857143,15.628571428571428,0.5428571428571428,34.0,44.3,25.7,199.0,120.0,26.0,99.0,112.0,41
2019-09-01,326,0.031,0.656,0.257,0.055,28.25714285714286,11.828571428571427,0.5714285714285714,33.2,43.6,24.5,205.0,103.0,25.0,103.0,89.0,36
2019-09-08,314,0.031,0.656,0.257,0.055,29.442857142857143,16.04285714285714,0.0,33.8,42.5,24.7,160.0,69.0,22.0,89.0,52.0,40
2019-09-15,299,0.031,0.656,0.257,0.055,29.2,13.971428571428572,0.0,33.8,41.0,27.0,121.0,79.0,17.0,89.0,45.0,41
2019-09-22,258,0.031,0.656,0.257,0.055,29.24285714285714,15.814285714285717,0.0,33.9,46.1,26.4,82.0,102.0,18.0,75.0,43.0,37
