time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),google_trends,s_ratio,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2019-11-24,295,0.027,0.576,0.299,0.098,28.428571428571427,6.957142857142857,0.1714285714285714,34.4,37.4,24.7,34.0,0.6809856994505233,0,0,0,0,0,0,0,0,0,1,0
2019-12-01,280,0.027,0.576,0.299,0.098,26.985714285714288,6.9,3.2,34.0,33.5,24.2,35.0,0.6805411379600707,0,0,0,0,0,0,0,0,0,0,1
2019-12-08,257,0.049,0.451,0.407,0.093,27.714285714285715,7.357142857142857,13.371428571428572,33.0,34.9,24.0,30.0,0.7083311709765246,0,0,0,0,0,0,0,0,0,0,1
2019-12-15,226,0.049,0.451,0.407,0.093,27.47142857142857,12.0,8.971428571428572,31.9,42.8,23.9,29.0,0.7079585422605742,0,0,0,0,0,0,0,0,0,0,1
2019-12-22,290,0.049,0.451,0.407,0.093,24.914285714285715,7.471428571428571,43.4,31.1,41.8,22.7,32.0,0.707944083406911,0,0,0,0,0,0,0,0,0,0,1
2019-12-29,302,0.049,0.451,0.407,0.093,26.5,7.6571428571428575,7.442857142857142,31.1,37.4,23.2,33.0,0.7076884851693781,0,0,0,0,0,0,0,0,0,0,1
2020-01-05,342,0.003,0.423,0.343,0.231,27.542857142857144,11.314285714285717,0.3999999999999999,31.7,37.1,24.7,29.0,0.7288490499779908,0,0,0,0,0,0,0,0,0,0,0
2020-01-12,402,0.089,0.397,0.467,0.048,27.81428571428572,12.12857142857143,0.0,32.2,43.2,25.1,37.0,0.7145065626613284,0,0,0,0,0,0,0,0,0,0,0
2020-01-19,307,0.089,0.397,0.467,0.048,27.15714285714285,9.828571428571427,2.6,32.3,40.7,23.8,42.0,0.7137356175274036,0,0,0,0,0,0,0,0,0,0,0
2020-01-26,370,0.089,0.397,0.467,0.048,27.97142857142857,12.171428571428573,0.0,32.8,36.7,24.6,32.0,0.7135985232183244,0,0,0,0,0,0,0,0,0,0,0
2020-02-02,400,0.089,0.397,0.467,0.048,27.97142857142857,13.585714285714284,2.0285714285714285,32.8,38.5,24.3,34.0,0.7132815202704629,1,0,0,0,0,0,0,0,0,0,0
2020-02-09,378,0.177,0.269,0.474,0.081,27.9,12.94285714285714,8.0,32.6,40.3,23.8,29.0,0.7395115079787041,1,0,0,0,0,0,0,0,0,0,0
2020-02-16,380,0.177,0.269,0.474,0.081,27.61428571428572,11.728571428571428,2.085714285714286,32.3,41.0,23.7,49.0,0.7392050864074066,1,0,0,0,0,0,0,0,0,0,0
